order_id,order_number,customer_id,order_date,ship_date,subtotal,tax,freight,total,total_cost,margin,status,payment_status,po_number
38,ORD-202301-00038,118,2023-01-04,2023-01-05,3250.93,215.37,70.88,3537.18,2195.18,0.3248,DELIVERED,PAID,PO-00118-6646
39,ORD-202301-00039,2,2023-01-23,2023-01-26,3197.82,191.87,89.37,3479.06,1980.20,0.3808,DELIVERED,PAID,PO-00002-6136
40,ORD-202301-00040,107,2023-01-11,2023-01-13,8599.25,515.95,145.77,9260.97,5336.40,0.3794,DELIVERED,PAID,PO-00107-1861
41,ORD-202301-00041,3,2023-01-09,2023-01-09,2673.41,177.11,70.77,2921.29,1676.35,0.373,DELIVERED,PAID,PO-00003-9321
42,ORD-202301-00042,15,2023-01-15,2023-01-15,8385.63,503.14,106.23,8995.00,5173.18,0.3831,DELIVERED,PAID,PO-00015-1476
43,ORD-202301-00043,43,2023-01-16,2023-01-17,10878.05,720.67,81.33,11680.05,8483.82,0.2201,DELIVERED,PAID,PO-00043-7324
44,ORD-202301-00044,54,2023-01-13,2023-01-18,1871.35,112.28,32.33,2015.96,1287.70,0.3119,DELIVERED,PAID,PO-00054-8644
45,ORD-202301-00045,31,2023-01-24,2023-01-27,3667.51,242.97,96.30,4006.78,2326.51,0.3656,DELIVERED,PAID,PO-00031-6572
46,ORD-202301-00046,84,2023-01-27,2023-01-30,1482.90,98.24,44.21,1625.35,908.33,0.3875,DELIVERED,PAID,PO-00084-9388
47,ORD-202301-00047,39,2023-01-10,2023-01-12,1853.81,122.81,40.34,2016.96,1267.02,0.3165,DELIVERED,PAID,PO-00039-6706
48,ORD-202301-00048,120,2023-01-20,2023-01-23,9571.63,574.30,148.23,10294.16,7519.65,0.2144,DELIVERED,PAID,PO-00120-8097
49,ORD-202301-00049,108,2023-01-30,2023-02-02,4581.59,274.90,97.12,4953.61,2841.41,0.3798,DELIVERED,PAID,PO-00108-4115
50,ORD-202301-00050,19,2023-01-06,2023-01-09,1726.86,91.52,45.52,1863.90,1046.38,0.3941,DELIVERED,PAID,PO-00019-4987
51,ORD-202301-00051,81,2023-01-05,2023-01-09,1351.64,81.10,54.90,1487.64,828.71,0.3869,DELIVERED,PAID,PO-00081-3386
52,ORD-202301-00052,71,2023-01-15,2023-01-18,3852.56,255.23,87.32,4195.11,2349.17,0.3902,DELIVERED,PAID,PO-00071-4103
53,ORD-202301-00053,52,2023-01-09,2023-01-12,4381.25,262.88,87.87,4732.00,2718.72,0.3795,DELIVERED,PAID,PO-00052-6793
54,ORD-202301-00054,57,2023-01-09,2023-01-09,19470.60,1168.24,187.05,20825.89,15039.64,0.2276,DELIVERED,PAID,PO-00057-5876
55,ORD-202301-00055,76,2023-01-05,2023-01-05,2310.73,138.64,74.78,2524.15,1367.87,0.408,DELIVERED,PAID,PO-00076-4102
56,ORD-202301-00056,70,2023-01-02,2023-01-04,7014.68,420.88,122.09,7557.65,4280.02,0.3898,DELIVERED,PAID,PO-00070-9001
57,ORD-202301-00057,132,2023-01-05,2023-01-05,2516.86,151.01,81.51,2749.38,1626.01,0.354,DELIVERED,PAID,PO-00132-7245
58,ORD-202301-00058,18,2023-01-26,2023-01-27,540.12,32.41,63.45,635.98,388.92,0.2799,DELIVERED,PAID,PO-00018-1894
59,ORD-202301-00059,16,2023-01-20,2023-01-25,10156.33,609.38,188.36,10954.07,7538.91,0.2577,DELIVERED,OVERDUE,PO-00016-3281
60,ORD-202301-00060,59,2023-01-16,2023-01-17,4854.05,291.24,52.99,5198.28,2828.16,0.4174,DELIVERED,PAID,PO-00059-9157
61,ORD-202301-00061,52,2023-01-30,2023-02-02,2841.35,170.48,97.17,3109.00,1743.90,0.3862,DELIVERED,PAID,PO-00052-8751
62,ORD-202301-00062,81,2023-01-02,2023-01-05,464.01,27.84,12.63,504.48,274.53,0.4084,DELIVERED,OVERDUE,PO-00081-3156
63,ORD-202301-00063,17,2023-01-09,2023-01-11,3748.31,224.90,54.64,4027.85,2463.91,0.3427,DELIVERED,PAID,PO-00017-4094
64,ORD-202301-00064,63,2023-01-25,2023-01-27,2378.44,142.71,56.45,2577.60,1642.95,0.3092,DELIVERED,PAID,PO-00063-4660
65,ORD-202301-00065,128,2023-01-18,2023-01-19,9987.54,599.25,159.46,10746.25,6337.40,0.3655,DELIVERED,PAID,PO-00128-7630
66,ORD-202301-00066,137,2023-01-16,2023-01-18,1558.98,93.54,48.20,1700.72,943.85,0.3946,DELIVERED,PAID,PO-00137-7429
67,ORD-202301-00067,137,2023-01-03,2023-01-06,2162.27,129.74,60.19,2352.20,1277.13,0.4094,DELIVERED,PAID,PO-00137-2477
68,ORD-202301-00068,123,2023-01-01,2023-01-03,3103.47,186.21,90.68,3380.36,2051.71,0.3389,DELIVERED,PAID,PO-00123-8177
69,ORD-202301-00069,133,2023-01-02,2023-01-04,2682.53,142.17,60.93,2885.63,1642.62,0.3877,DELIVERED,PAID,PO-00133-4066
70,ORD-202301-00070,82,2023-01-05,2023-01-06,4759.78,252.27,101.67,5113.72,2917.75,0.387,DELIVERED,PAID,PO-00082-3613
71,ORD-202301-00071,79,2023-01-24,2023-01-25,2911.03,174.66,63.42,3149.11,1722.17,0.4084,DELIVERED,PAID,PO-00079-5946
72,ORD-202301-00072,2,2023-01-13,2023-01-17,2665.56,159.93,51.03,2876.52,1760.66,0.3395,DELIVERED,PAID,PO-00002-8647
73,ORD-202301-00073,58,2023-01-30,2023-02-01,1282.37,84.96,38.12,1405.45,934.35,0.2714,DELIVERED,PAID,PO-00058-8812
74,ORD-202301-00074,128,2023-01-13,2023-01-17,5262.12,315.73,188.49,5766.34,3316.90,0.3697,DELIVERED,PAID,PO-00128-6516
75,ORD-202301-00075,79,2023-01-24,2023-01-27,4024.70,241.48,98.50,4364.68,2711.03,0.3264,DELIVERED,PAID,PO-00079-6194
76,ORD-202301-00076,128,2023-01-11,2023-01-16,1868.66,112.12,35.66,2016.44,1162.85,0.3777,DELIVERED,PAID,PO-00128-6016
77,ORD-202301-00077,111,2023-01-02,2023-01-05,7539.42,452.37,155.88,8147.67,5756.27,0.2365,DELIVERED,PAID,PO-00111-8051
78,ORD-202301-00078,88,2023-01-06,2023-01-11,538.24,32.29,56.74,627.27,321.41,0.4029,DELIVERED,OVERDUE,PO-00088-4508
79,ORD-202301-00079,10,2023-01-09,2023-01-09,7141.49,378.50,87.37,7607.36,4410.53,0.3824,DELIVERED,PAID,PO-00010-5350
80,ORD-202301-00080,9,2023-01-01,2023-01-02,9708.02,582.48,128.03,10418.53,5949.95,0.3871,DELIVERED,PAID,PO-00009-4240
81,ORD-202301-00081,55,2023-01-24,2023-01-26,6351.24,336.62,108.18,6796.04,4044.07,0.3633,DELIVERED,PAID,PO-00055-3489
82,ORD-202301-00082,134,2023-01-02,2023-01-03,2809.58,186.13,106.53,3102.24,1809.36,0.356,DELIVERED,PARTIAL,PO-00134-8801
83,ORD-202301-00083,30,2023-01-09,2023-01-11,1469.01,88.14,43.60,1600.75,872.39,0.4061,DELIVERED,PAID,PO-00030-6995
84,ORD-202301-00084,55,2023-01-23,2023-01-23,1192.51,63.20,64.91,1320.62,681.79,0.4283,DELIVERED,PAID,PO-00055-1182
85,ORD-202301-00085,127,2023-01-03,2023-01-04,3122.66,187.36,45.32,3355.34,2142.51,0.3139,DELIVERED,PARTIAL,PO-00127-2661
86,ORD-202301-00086,140,2023-01-17,2023-01-17,5076.91,269.08,157.89,5503.88,3396.32,0.331,DELIVERED,PAID,PO-00140-3387
87,ORD-202301-00087,112,2023-01-31,2023-01-31,1469.88,97.38,53.76,1621.02,924.84,0.3708,DELIVERED,PAID,PO-00112-6932
88,ORD-202301-00088,77,2023-01-18,2023-01-20,3166.85,190.01,64.68,3421.54,2008.97,0.3656,DELIVERED,PAID,PO-00077-1448
89,ORD-202301-00089,65,2023-01-12,2023-01-17,3604.11,216.25,111.22,3931.58,2132.91,0.4082,DELIVERED,PAID,PO-00065-1356
90,ORD-202301-00090,111,2023-01-16,2023-01-19,3687.64,221.26,82.53,3991.43,2339.37,0.3656,DELIVERED,PAID,PO-00111-1964
91,ORD-202301-00091,126,2023-01-04,2023-01-06,3213.45,212.89,98.75,3525.09,2124.48,0.3389,DELIVERED,PAID,PO-00126-2639
92,ORD-202301-00092,16,2023-01-09,2023-01-09,8902.26,534.14,142.40,9578.80,5556.27,0.3759,DELIVERED,PAID,PO-00016-1014
93,ORD-202301-00093,67,2023-01-17,2023-01-18,3429.28,227.19,66.17,3722.64,2026.68,0.409,DELIVERED,PAID,PO-00067-2240
94,ORD-202301-00094,11,2023-01-25,2023-01-27,1199.06,71.94,50.53,1321.53,650.24,0.4577,DELIVERED,PAID,PO-00011-3000
95,ORD-202301-00095,144,2023-01-11,2023-01-13,6343.07,380.58,103.48,6827.13,3877.74,0.3887,CANCELLED,UNPAID,PO-00144-9076
96,ORD-202301-00096,57,2023-01-05,2023-01-10,3410.66,204.64,50.69,3665.99,2094.23,0.386,DELIVERED,PAID,PO-00057-7814
97,ORD-202301-00097,143,2023-01-11,2023-01-16,1415.70,93.79,34.06,1543.55,937.62,0.3377,DELIVERED,PAID,PO-00143-5820
98,ORD-202301-00098,13,2023-01-24,2023-01-27,3441.07,227.97,81.82,3750.86,2150.71,0.375,DELIVERED,PAID,PO-00013-7102
99,ORD-202301-00099,104,2023-01-02,2023-01-03,5604.28,371.28,75.30,6050.86,3553.27,0.366,DELIVERED,PAID,PO-00104-1845
100,ORD-202301-00100,24,2023-01-05,2023-01-10,5148.03,341.06,114.14,5603.23,3163.59,0.3855,CANCELLED,UNPAID,PO-00024-2098
101,ORD-202301-00101,96,2023-01-03,2023-01-06,2515.77,150.95,109.62,2776.34,1609.73,0.3601,DELIVERED,PAID,PO-00096-7052
102,ORD-202301-00102,35,2023-01-07,2023-01-11,1125.50,67.53,54.22,1247.25,736.97,0.3452,DELIVERED,PAID,PO-00035-7828
103,ORD-202301-00103,89,2023-01-02,2023-01-02,7888.64,473.32,168.78,8530.74,4619.44,0.4144,DELIVERED,PAID,PO-00089-3744
104,ORD-202301-00104,46,2023-01-19,2023-01-20,1521.84,91.31,63.91,1677.06,1038.46,0.3176,DELIVERED,OVERDUE,PO-00046-5214
105,ORD-202301-00105,32,2023-01-30,2023-02-01,2714.67,162.88,66.61,2944.16,1631.47,0.399,DELIVERED,PAID,PO-00032-6179
106,ORD-202301-00106,134,2023-01-03,2023-01-05,889.39,58.92,53.89,1002.20,562.14,0.3679,DELIVERED,OVERDUE,PO-00134-1896
107,ORD-202301-00107,53,2023-01-29,2023-01-29,2347.13,140.83,82.27,2570.23,1436.46,0.388,DELIVERED,PAID,PO-00053-6863
108,ORD-202301-00108,9,2023-01-17,2023-01-19,4806.84,288.41,105.78,5201.03,3248.08,0.3243,DELIVERED,OVERDUE,PO-00009-7693
109,ORD-202301-00109,47,2023-01-20,2023-01-24,4317.89,286.06,58.25,4662.20,2865.28,0.3364,DELIVERED,PARTIAL,PO-00047-3495
110,ORD-202301-00110,148,2023-01-27,2023-01-30,178.14,10.69,23.24,212.07,130.62,0.2668,DELIVERED,PAID,PO-00148-5232
111,ORD-202301-00111,117,2023-01-11,2023-01-16,5542.19,332.53,110.61,5985.33,3545.84,0.3602,DELIVERED,PAID,PO-00117-8663
112,ORD-202301-00112,122,2023-01-30,2023-01-30,1908.02,114.48,33.66,2056.16,1341.64,0.2968,DELIVERED,PAID,PO-00122-9419
113,ORD-202301-00113,65,2023-01-18,2023-01-23,4136.83,248.21,104.78,4489.82,2482.12,0.4,DELIVERED,PAID,PO-00065-2173
114,ORD-202301-00114,70,2023-01-03,2023-01-03,1954.81,117.29,45.92,2118.02,1049.54,0.4631,DELIVERED,PAID,PO-00070-4733
115,ORD-202301-00115,128,2023-01-05,2023-01-09,4119.36,247.16,92.63,4459.15,2749.50,0.3325,DELIVERED,PAID,PO-00128-7405
116,ORD-202301-00116,134,2023-01-31,2023-02-02,5576.86,369.47,188.95,6135.28,4177.88,0.2509,DELIVERED,PAID,PO-00134-9405
117,ORD-202301-00117,18,2023-01-04,2023-01-09,1888.88,113.33,45.00,2047.21,1235.66,0.3458,DELIVERED,PAID,PO-00018-6838
118,ORD-202301-00118,7,2023-01-24,2023-01-24,3987.50,264.17,99.33,4351.00,2524.21,0.367,CANCELLED,UNPAID,PO-00007-9603
119,ORD-202301-00119,31,2023-01-26,2023-01-30,8842.81,585.84,117.97,9546.62,5749.32,0.3498,DELIVERED,PAID,PO-00031-7754
120,ORD-202301-00120,35,2023-01-19,2023-01-20,2820.06,169.20,105.28,3094.54,1807.04,0.3592,DELIVERED,PAID,PO-00035-9679
121,ORD-202301-00121,77,2023-01-16,2023-01-16,1127.61,67.66,45.61,1240.88,715.84,0.3652,DELIVERED,PAID,PO-00077-8189
122,ORD-202301-00122,112,2023-01-12,2023-01-13,2557.04,169.40,77.45,2803.89,1671.63,0.3463,DELIVERED,PAID,PO-00112-4497
123,ORD-202301-00123,142,2023-01-20,2023-01-20,6587.42,395.25,185.18,7167.85,4219.53,0.3595,DELIVERED,PAID,PO-00142-8070
124,ORD-202301-00124,25,2023-01-11,2023-01-16,2952.06,177.12,85.55,3214.73,1694.42,0.426,DELIVERED,PAID,PO-00025-4031
125,ORD-202301-00125,142,2023-01-18,2023-01-19,6982.51,418.95,119.85,7521.31,4358.62,0.3758,DELIVERED,PAID,PO-00142-2402
126,ORD-202301-00126,111,2023-01-11,2023-01-11,1922.24,115.33,35.42,2072.99,1265.98,0.3414,DELIVERED,PAID,PO-00111-4920
127,ORD-202301-00127,35,2023-01-29,2023-01-29,2488.85,149.33,99.80,2737.98,1724.47,0.3071,DELIVERED,PAID,PO-00035-5848
128,ORD-202301-00128,136,2023-01-18,2023-01-19,6094.28,403.75,194.71,6692.74,3905.04,0.3592,DELIVERED,PAID,PO-00136-1426
129,ORD-202301-00129,49,2023-01-30,2023-01-30,2399.80,143.99,53.89,2597.68,1566.12,0.3474,DELIVERED,PAID,PO-00049-7050
130,ORD-202301-00130,134,2023-01-03,2023-01-05,905.94,60.02,35.52,1001.48,595.63,0.3425,DELIVERED,PAID,PO-00134-8453
131,ORD-202301-00131,40,2023-01-24,2023-01-26,1846.40,110.78,39.59,1996.77,1230.34,0.3337,DELIVERED,OVERDUE,PO-00040-9415
132,ORD-202301-00132,77,2023-01-05,2023-01-09,2543.84,152.63,67.45,2763.92,1588.34,0.3756,DELIVERED,PAID,PO-00077-6028
133,ORD-202301-00133,69,2023-01-17,2023-01-20,3620.40,217.22,113.61,3951.23,2456.30,0.3215,DELIVERED,PAID,PO-00069-9109
134,ORD-202301-00134,7,2023-01-20,2023-01-25,4454.57,295.12,46.83,4796.52,2774.57,0.3771,DELIVERED,PAID,PO-00007-3684
135,ORD-202301-00135,72,2023-01-02,2023-01-03,7515.03,398.30,138.97,8052.30,4492.66,0.4022,DELIVERED,PAID,PO-00072-3575
136,ORD-202301-00136,99,2023-01-12,2023-01-17,2146.66,128.80,111.94,2387.40,1324.84,0.3828,DELIVERED,PAID,PO-00099-7385
137,ORD-202301-00137,44,2023-01-30,2023-02-02,3151.22,189.07,54.24,3394.53,1885.65,0.4016,DELIVERED,PAID,PO-00044-5349
138,ORD-202301-00138,6,2023-01-26,2023-01-26,3343.04,200.58,57.88,3601.50,2050.95,0.3865,DELIVERED,PAID,PO-00006-8418
139,ORD-202301-00139,29,2023-01-10,2023-01-10,1548.66,92.92,25.39,1666.97,949.39,0.387,DELIVERED,PARTIAL,PO-00029-7465
140,ORD-202301-00140,123,2023-01-04,2023-01-05,2315.49,138.93,54.19,2508.61,1489.34,0.3568,DELIVERED,PAID,PO-00123-3221
141,ORD-202301-00141,69,2023-01-16,2023-01-18,7794.00,467.64,167.46,8429.10,4731.67,0.3929,DELIVERED,PAID,PO-00069-3740
142,ORD-202301-00142,46,2023-01-05,2023-01-06,2388.61,143.32,108.10,2640.03,1597.85,0.3311,DELIVERED,PAID,PO-00046-1062
143,ORD-202301-00143,21,2023-01-11,2023-01-12,2174.74,130.48,47.13,2352.35,1405.08,0.3539,DELIVERED,PAID,PO-00021-2503
144,ORD-202301-00144,2,2023-01-21,2023-01-25,3365.33,201.92,55.49,3622.74,1992.78,0.4079,DELIVERED,PAID,PO-00002-4672
145,ORD-202301-00145,1,2023-01-10,2023-01-10,1594.28,95.66,37.59,1727.53,1127.52,0.2928,DELIVERED,PAID,PO-00001-7031
146,ORD-202301-00146,9,2023-01-18,2023-01-20,2829.03,169.74,96.53,3095.30,1845.64,0.3476,DELIVERED,PAID,PO-00009-8002
147,ORD-202301-00147,89,2023-01-19,2023-01-23,7029.50,421.77,109.53,7560.80,3890.28,0.4466,DELIVERED,PAID,PO-00089-8676
148,ORD-202301-00148,93,2023-01-17,2023-01-18,3542.95,212.58,103.86,3859.39,2195.65,0.3803,DELIVERED,PAID,PO-00093-6639
149,ORD-202301-00149,64,2023-01-31,2023-02-01,3293.78,197.63,108.67,3600.08,2009.45,0.3899,DELIVERED,PAID,PO-00064-7568
150,ORD-202301-00150,134,2023-01-14,2023-01-18,3420.93,226.64,52.18,3699.75,2339.90,0.316,DELIVERED,PAID,PO-00134-2765
151,ORD-202301-00151,59,2023-01-20,2023-01-25,3795.53,227.73,116.54,4139.80,2592.57,0.3169,DELIVERED,PAID,PO-00059-8947
152,ORD-202301-00152,75,2023-01-16,2023-01-17,2426.45,145.59,73.25,2645.29,1524.91,0.3715,DELIVERED,PAID,PO-00075-7993
153,ORD-202301-00153,26,2023-01-19,2023-01-23,2774.73,147.06,51.81,2973.60,1748.91,0.3697,DELIVERED,PAID,PO-00026-3361
154,ORD-202301-00154,130,2023-01-03,2023-01-06,3113.63,206.28,73.39,3393.30,1939.66,0.377,DELIVERED,PAID,PO-00130-4758
155,ORD-202301-00155,31,2023-01-19,2023-01-19,5471.66,362.50,135.43,5969.59,3346.34,0.3884,DELIVERED,PAID,PO-00031-4609
156,ORD-202301-00156,77,2023-01-18,2023-01-18,7450.59,447.04,135.89,8033.52,5460.71,0.2671,DELIVERED,OVERDUE,PO-00077-9284
157,ORD-202301-00157,1,2023-01-09,2023-01-09,2570.27,154.22,70.36,2794.85,1551.28,0.3965,DELIVERED,PAID,PO-00001-2208
158,ORD-202301-00158,139,2023-01-12,2023-01-16,5826.50,386.01,172.43,6384.94,3884.47,0.3333,DELIVERED,PAID,PO-00139-1152
159,ORD-202301-00159,11,2023-01-25,2023-01-30,2995.01,179.70,66.35,3241.06,2000.90,0.3319,DELIVERED,PAID,PO-00011-3491
160,ORD-202301-00160,111,2023-01-04,2023-01-06,3009.33,180.56,116.81,3306.70,1818.32,0.3958,DELIVERED,PAID,PO-00111-8189
161,ORD-202301-00161,9,2023-01-24,2023-01-25,6987.86,419.27,181.07,7588.20,4582.61,0.3442,DELIVERED,PAID,PO-00009-8897
162,ORD-202301-00162,112,2023-01-03,2023-01-06,1478.52,97.95,39.63,1616.10,835.21,0.4351,DELIVERED,PAID,PO-00112-3910
163,ORD-202301-00163,35,2023-01-12,2023-01-12,1696.44,101.79,61.31,1859.54,1088.29,0.3585,DELIVERED,PAID,PO-00035-5186
164,ORD-202301-00164,58,2023-01-27,2023-01-31,5231.57,346.59,98.14,5676.30,3230.85,0.3824,DELIVERED,PAID,PO-00058-6242
165,ORD-202301-00165,80,2023-01-12,2023-01-16,2738.55,164.31,51.65,2954.51,1509.93,0.4486,DELIVERED,PAID,PO-00080-5788
166,ORD-202301-00166,148,2023-01-19,2023-01-24,2487.01,149.22,72.96,2709.19,1756.27,0.2938,DELIVERED,PAID,PO-00148-7146
167,ORD-202301-00167,71,2023-01-14,2023-01-17,4084.82,270.62,50.92,4406.36,2215.70,0.4576,DELIVERED,PAID,PO-00071-7545
168,ORD-202301-00168,59,2023-01-09,2023-01-12,5137.35,308.24,195.65,5641.24,3264.01,0.3647,DELIVERED,PAID,PO-00059-2138
169,ORD-202301-00169,96,2023-01-23,2023-01-23,2381.37,142.88,75.21,2599.46,1499.44,0.3703,DELIVERED,PAID,PO-00096-2865
170,ORD-202301-00170,79,2023-01-02,2023-01-04,628.65,37.72,46.68,713.05,432.90,0.3114,DELIVERED,PAID,PO-00079-3552
171,ORD-202301-00171,13,2023-01-09,2023-01-10,2698.39,178.77,114.23,2991.39,1705.19,0.3681,DELIVERED,PAID,PO-00013-8883
172,ORD-202301-00172,78,2023-01-10,2023-01-10,4720.37,283.22,45.74,5049.33,2867.27,0.3926,DELIVERED,PAID,PO-00078-2826
173,ORD-202301-00173,41,2023-01-09,2023-01-10,2012.50,120.75,53.39,2186.64,1245.11,0.3813,DELIVERED,PAID,PO-00041-8000
174,ORD-202301-00174,61,2023-01-02,2023-01-04,6931.85,415.91,191.62,7539.38,4431.56,0.3607,DELIVERED,PAID,PO-00061-6219
175,ORD-202301-00175,16,2023-01-06,2023-01-09,3884.40,233.06,85.49,4202.95,2370.99,0.3896,DELIVERED,PAID,PO-00016-3921
176,ORD-202301-00176,43,2023-01-11,2023-01-16,3125.41,207.06,76.96,3409.43,1958.79,0.3733,DELIVERED,PAID,PO-00043-8684
177,ORD-202301-00177,58,2023-01-02,2023-01-04,2481.94,164.43,78.71,2725.08,1584.25,0.3617,DELIVERED,PAID,PO-00058-6006
178,ORD-202301-00178,23,2023-01-25,2023-01-26,3399.41,203.96,93.30,3696.67,2200.96,0.3525,DELIVERED,PAID,PO-00023-4123
179,ORD-202301-00179,7,2023-01-02,2023-01-03,21384.66,1416.73,84.87,22886.26,16682.07,0.2199,DELIVERED,PAID,PO-00007-3482
180,ORD-202301-00180,128,2023-01-25,2023-01-27,4988.06,299.28,107.75,5395.09,3084.06,0.3817,DELIVERED,PAID,PO-00128-5926
181,ORD-202301-00181,58,2023-01-26,2023-01-31,3156.04,209.09,54.46,3419.59,1844.63,0.4155,DELIVERED,PAID,PO-00058-4985
182,ORD-202301-00182,86,2023-01-04,2023-01-05,3231.01,193.86,80.60,3505.47,2007.98,0.3785,DELIVERED,PAID,PO-00086-4110
