product_id,sku,name,manufacturer,category_l1,category_l2,cost,price,msrp,uom,min_order_qty,status
65,COM-MOR-005,Mortise Lock L9040 - Privacy,Schlage,Commercial Hardware,Mortise Locks,260.29,401.62,554.92,EA,1,ACTIVE
66,COM-MOR-006,Mortise Lock L9092 - Electrified,Schlage,Commercial Hardware,Mortise Locks,112.64,183.17,279.86,EA,1,ACTIVE
67,COM-MOR-007,Mortise Lockset - Office Function,Marks USA,Commercial Hardware,Mortise Locks,316.82,507.18,776.24,EA,1,DISCONTINUED
68,COM-MOR-008,Mortise Lockset - Entry Function,Corbin Russwin,Commercial Hardware,Mortise Locks,397.09,624.70,911.28,EA,1,ACTIVE
69,COM-MOR-009,Heavy Duty Mortise Lock - Institutional,Corbin Russwin,Commercial Hardware,Mortise Locks,255.29,411.27,608.87,EA,1,ACTIVE
70,COM-MOR-010,Grade 1 Mortise Body - 626,Sargent,Commercial Hardware,Mortise Locks,235.90,377.04,547.33,EA,1,ACTIVE
71,COM-EXT-001,"Exit Device 98EO - Rim 36""",Corbin Russwin,Commercial Hardware,Exit Devices,733.45,1210.01,1731.60,EA,1,ACTIVE
72,COM-EXT-002,"Exit Device 98EO - Rim 48""",Sargent,Commercial Hardware,Exit Devices,243.26,387.37,590.95,EA,1,DISCONTINUED
73,COM-EXT-003,"Exit Device 99EO - SVR 36""",Falcon,Commercial Hardware,Exit Devices,634.33,1016.30,1322.75,EA,1,ACTIVE
74,COM-EXT-004,"Exit Device 99EO - SVR 48""",Corbin Russwin,Commercial Hardware,Exit Devices,280.11,457.09,643.97,EA,1,ACTIVE
75,COM-EXT-005,"Concealed Vertical Rod Device - 36""",Von Duprin,Commercial Hardware,Exit Devices,243.51,384.04,606.11,EA,1,ACTIVE
76,COM-EXT-006,"Surface Vertical Rod Device - 48""",Corbin Russwin,Commercial Hardware,Exit Devices,726.32,1147.32,1650.43,EA,1,ACTIVE
77,COM-EXT-007,"Rim Exit Device Grade 1 - 36""",Corbin Russwin,Commercial Hardware,Exit Devices,296.75,484.08,725.48,EA,1,ACTIVE
78,COM-EXT-008,"Rim Exit Device Grade 1 - 48""",Von Duprin,Commercial Hardware,Exit Devices,799.53,1264.73,1966.43,EA,1,ACTIVE
79,COM-EXT-009,"Fire Rated Exit Device - 36""",Falcon,Commercial Hardware,Exit Devices,423.61,668.68,922.72,EA,1,ACTIVE
80,COM-EXT-010,Motorized Latch Retraction Device,Falcon,Commercial Hardware,Exit Devices,759.44,1250.00,1763.27,EA,1,ACTIVE
81,COM-EXT-011,Delayed Egress Exit Device,Von Duprin,Commercial Hardware,Exit Devices,386.00,626.63,963.40,EA,1,ACTIVE
82,COM-EXT-012,"Exit Alarm Device - 36""",Falcon,Commercial Hardware,Exit Devices,340.38,549.90,849.53,EA,1,ACTIVE
83,COM-CLS-001,Door Closer 4040XP - Aluminum,Norton,Commercial Hardware,Door Closers,111.62,184.19,271.88,EA,1,ACTIVE
84,COM-CLS-002,Door Closer 4040XP - Dark Bronze,Norton,Commercial Hardware,Door Closers,267.56,436.17,619.11,EA,1,ACTIVE
85,COM-CLS-003,Door Closer 4011 - Regular Arm,LCN,Commercial Hardware,Door Closers,40.40,63.13,97.97,EA,1,ACTIVE
86,COM-CLS-004,Door Closer 4041 - Hold Open Arm,Norton,Commercial Hardware,Door Closers,25.31,38.98,53.21,EA,1,ACTIVE
87,COM-CLS-005,Door Closer 1600 Series - Aluminum,Sargent,Commercial Hardware,Door Closers,259.51,412.38,591.65,EA,1,ACTIVE
88,COM-CLS-006,Door Closer 1600 Series - Bronze,LCN,Commercial Hardware,Door Closers,276.69,433.44,674.92,EA,1,ACTIVE
89,COM-CLS-007,Concealed Door Closer - Aluminum,LCN,Commercial Hardware,Door Closers,31.20,50.05,72.92,EA,1,ACTIVE
90,COM-CLS-008,Surface Door Closer - Hold Open,LCN,Commercial Hardware,Door Closers,242.21,400.59,611.55,EA,1,ACTIVE
91,COM-CLS-009,ADA Compliant Door Closer,Yale,Commercial Hardware,Door Closers,99.05,155.01,204.73,EA,1,DISCONTINUED
92,COM-CLS-010,Heavy Duty Door Closer - Institutional,Norton,Commercial Hardware,Door Closers,252.26,416.22,611.53,EA,1,ACTIVE
93,COM-HNG-001,"Full Mortise Hinge 4.5"" x 4.5"" - 26D",Hager,Commercial Hardware,Hinges,58.98,92.68,146.78,EA,1,ACTIVE
94,COM-HNG-002,"Full Mortise Hinge 4.5"" x 4.5"" - US10B",Stanley,Commercial Hardware,Hinges,19.18,31.84,49.95,EA,1,ACTIVE
95,COM-HNG-003,"Full Mortise Hinge 4"" x 4"" - 26D",Stanley,Commercial Hardware,Hinges,74.83,117.43,166.43,EA,1,ACTIVE
96,COM-HNG-004,"Full Mortise Hinge 5"" x 4.5"" - 26D",Hager,Commercial Hardware,Hinges,41.96,69.20,105.80,EA,1,ACTIVE
97,COM-HNG-005,"Spring Hinge 4.5"" x 4.5"" - 26D",Hager,Commercial Hardware,Hinges,69.29,108.65,153.46,EA,1,ACTIVE
98,COM-HNG-006,"Continuous Hinge 83"" - Clear",McKinney,Commercial Hardware,Hinges,29.22,46.78,62.30,EA,1,ACTIVE
99,COM-HNG-007,Pivot Hinge Set - Aluminum,Stanley,Commercial Hardware,Hinges,44.42,69.51,103.50,EA,1,ACTIVE
100,COM-HNG-008,"Ball Bearing Hinge 4.5"" - 630",Ives,Commercial Hardware,Hinges,57.09,89.98,133.96,EA,1,ACTIVE
101,COM-HNG-009,"Heavy Weight Hinge 5"" x 5"" - 26D",Stanley,Commercial Hardware,Hinges,51.58,82.15,126.88,EA,1,ACTIVE
102,COM-HNG-010,Electric Hinge 4-Wire - 26D,Stanley,Commercial Hardware,Hinges,30.10,48.98,63.69,EA,1,ACTIVE
103,COM-THR-001,"Saddle Threshold 36"" - Aluminum",Pemko,Commercial Hardware,Thresholds,100.69,159.01,210.72,EA,1,ACTIVE
104,COM-THR-002,"Saddle Threshold 48"" - Aluminum",Zero International,Commercial Hardware,Thresholds,107.15,168.98,263.09,EA,1,ACTIVE
105,COM-THR-003,"ADA Ramp Threshold 36"" - Bronze",Reese,Commercial Hardware,Thresholds,94.23,149.83,228.26,EA,1,ACTIVE
106,COM-THR-004,"ADA Ramp Threshold 48"" - Aluminum",Pemko,Commercial Hardware,Thresholds,76.12,125.00,189.84,EA,1,ACTIVE
107,COM-THR-005,"Thermal Break Threshold 36""",Reese,Commercial Hardware,Thresholds,34.39,55.68,80.21,EA,1,ACTIVE
108,COM-THR-006,"Adjustable Threshold 36""",Reese,Commercial Hardware,Thresholds,110.63,172.88,230.25,EA,1,ACTIVE
109,COM-THR-007,"Bumper Seal Threshold 36""",Reese,Commercial Hardware,Thresholds,56.78,89.75,129.59,EA,1,ACTIVE
110,COM-THR-008,"Heavy Duty Mill Threshold 48""",Reese,Commercial Hardware,Thresholds,111.91,175.19,260.29,EA,1,ACTIVE
111,ACC-RDR-001,Proximity Reader iCLASS SE - Black,HID Global,Access Control,Card Readers,134.61,224.75,311.06,EA,1,ACTIVE
112,ACC-RDR-002,Proximity Reader iCLASS SE - Gray,HID Global,Access Control,Card Readers,205.04,323.90,505.71,EA,1,ACTIVE
113,ACC-RDR-003,Multi-Class Reader SE - Black,Allegion,Access Control,Card Readers,178.86,341.33,461.16,EA,1,ACTIVE
114,ACC-RDR-004,Proximity Reader R10 - Black,HID Global,Access Control,Card Readers,209.07,333.37,442.43,EA,1,ACTIVE
115,ACC-RDR-005,Proximity Reader R40 - Long Range,HID Global,Access Control,Card Readers,260.50,407.71,539.62,EA,1,ACTIVE
116,ACC-RDR-006,Mobile-Ready Reader - Bluetooth,Allegion,Access Control,Card Readers,217.30,368.75,549.78,EA,1,ACTIVE
117,ACC-RDR-007,Biometric Reader with Card - Black,HID Global,Access Control,Card Readers,218.56,419.26,651.53,EA,1,ACTIVE
118,ACC-RDR-008,Mullion Mount Reader - Black,dormakaba,Access Control,Card Readers,128.28,237.60,322.32,EA,1,ACTIVE
119,ACC-RDR-009,Weatherproof Card Reader - Gray,dormakaba,Access Control,Card Readers,182.25,300.02,426.54,EA,1,ACTIVE
120,ACC-RDR-010,Smart Card Reader - Contactless,HID Global,Access Control,Card Readers,141.07,268.93,405.08,EA,1,ACTIVE
121,ACC-CTL-001,Access Controller 2-Door - IP,dormakaba,Access Control,Controllers,678.48,1161.56,1585.55,EA,1,ACTIVE
122,ACC-CTL-002,Access Controller 4-Door - IP,dormakaba,Access Control,Controllers,141.44,231.58,342.16,EA,1,ACTIVE
123,ACC-CTL-003,Access Controller 8-Door - IP,Allegion,Access Control,Controllers,572.68,1072.79,1714.76,EA,1,ACTIVE
124,ACC-CTL-004,Single Door Controller - PoE,dormakaba,Access Control,Controllers,403.70,755.19,1053.35,EA,1,ACTIVE
125,ACC-CTL-005,Elevator Controller - 16 Floor,HID Global,Access Control,Controllers,141.34,257.21,368.19,EA,1,DISCONTINUED
126,ACC-CTL-006,Network Access Panel - 2 Reader,Allegion,Access Control,Controllers,535.17,1023.29,1502.63,EA,1,ACTIVE
127,ACC-CTL-007,Access Control Board - 4 Reader,NAPCO,Access Control,Controllers,569.85,894.44,1417.80,EA,1,ACTIVE
128,ACC-CTL-008,Wireless Lock Controller,NAPCO,Access Control,Controllers,665.91,1138.97,1510.53,EA,1,ACTIVE
129,ACC-CTL-009,Edge Controller - Single Door,dormakaba,Access Control,Controllers,726.37,1317.97,1768.88,EA,1,ACTIVE
130,ACC-CTL-010,Cloud-Based Controller Module,HID Global,Access Control,Controllers,748.93,1167.79,1758.84,EA,1,ACTIVE
131,ACC-CRD-001,Proximity Cards iCLASS - 100 Pack,Allegion,Access Control,Credentials,98.42,181.85,259.96,PK,1,ACTIVE
132,ACC-CRD-002,Proximity Cards HID 1326 - 100 Pack,HID Global,Access Control,Credentials,125.75,247.12,364.43,PK,1,DISCONTINUED
133,ACC-CRD-003,Smart Cards SEOS - 50 Pack,dormakaba,Access Control,Credentials,67.02,132.51,185.59,PK,1,DISCONTINUED
134,ACC-CRD-004,Key Fobs iCLASS - 50 Pack,HID Global,Access Control,Credentials,54.48,95.41,146.48,PK,1,ACTIVE
135,ACC-CRD-005,Key Fobs Prox - 100 Pack,dormakaba,Access Control,Credentials,64.37,127.39,189.02,PK,1,ACTIVE
136,ACC-CRD-006,Wristband Credentials - 25 Pack,HID Global,Access Control,Credentials,36.78,56.83,90.51,PK,1,ACTIVE
137,ACC-CRD-007,Mobile Credential License - 100 Pack,dormakaba,Access Control,Credentials,172.16,267.78,354.44,PK,1,ACTIVE
138,ACC-CRD-008,Clamshell Cards 125kHz - 100 Pack,dormakaba,Access Control,Credentials,123.14,201.98,286.88,PK,1,ACTIVE
139,ACC-STR-001,Electric Strike 1006 - 12/24VDC,Securitron,Access Control,Electric Strikes,142.07,283.88,379.53,EA,1,ACTIVE
140,ACC-STR-002,Electric Strike 1006 - Fail Secure,Von Duprin,Access Control,Electric Strikes,98.32,151.83,201.58,EA,1,ACTIVE
141,ACC-STR-003,Electric Strike 1006 - Fail Safe,Securitron,Access Control,Electric Strikes,35.22,66.36,86.40,EA,1,ACTIVE
142,ACC-STR-004,Electric Strike 9600 - 12/24VDC,Securitron,Access Control,Electric Strikes,98.74,155.33,235.35,EA,1,ACTIVE
143,ACC-STR-005,Heavy Duty Electric Strike - Mortise,HES,Access Control,Electric Strikes,190.22,328.00,472.89,EA,1,ACTIVE
144,ACC-STR-006,Fire Rated Electric Strike,Securitron,Access Control,Electric Strikes,47.01,75.40,99.85,EA,1,ACTIVE
145,ACC-STR-007,Electric Strike for Rim Device,Von Duprin,Access Control,Electric Strikes,100.72,177.58,254.33,EA,1,ACTIVE
146,ACC-STR-008,Compact Electric Strike - 12VDC,Von Duprin,Access Control,Electric Strikes,49.53,84.98,114.32,EA,1,ACTIVE
147,ACC-STR-009,Surface Mount Electric Strike,Von Duprin,Access Control,Electric Strikes,137.94,235.75,360.53,EA,1,ACTIVE
148,ACC-STR-010,Electric Release - Cylindrical Lock,Von Duprin,Access Control,Electric Strikes,88.92,172.00,242.52,EA,1,ACTIVE
149,ACC-MAG-001,Maglock 600 lb - Single Door,Alarm Lock,Access Control,Maglocks,159.43,286.44,414.43,EA,1,ACTIVE
150,ACC-MAG-002,Maglock 1200 lb - Single Door,DynaLock,Access Control,Maglocks,45.99,86.29,126.67,EA,1,ACTIVE
151,ACC-MAG-003,Maglock 600 lb - Double Door,Securitron,Access Control,Maglocks,99.22,175.53,231.78,EA,1,ACTIVE
152,ACC-MAG-004,Maglock 1200 lb - Double Door,Securitron,Access Control,Maglocks,105.13,168.09,243.33,EA,1,ACTIVE
153,ACC-MAG-005,Shear Lock 2000 lb,Dortronics,Access Control,Maglocks,153.05,245.63,333.64,EA,1,ACTIVE
154,ACC-MAG-006,Mini Maglock 300 lb - Surface,Dortronics,Access Control,Maglocks,121.17,229.93,313.91,EA,1,ACTIVE
155,ACC-MAG-007,Gate Maglock - 1200 lb Outdoor,Dortronics,Access Control,Maglocks,58.65,98.95,143.60,EA,1,ACTIVE
156,ACC-MAG-008,Maglock with LED Status,Alarm Lock,Access Control,Maglocks,97.55,176.92,252.85,EA,1,ACTIVE
157,ACC-KPD-001,Trilogy T2 DL2700 - 26D,dormakaba,Access Control,Keypad Locks,355.64,606.53,837.36,EA,1,ACTIVE
158,ACC-KPD-002,Trilogy T2 DL2700 - US10B,dormakaba,Access Control,Keypad Locks,118.86,225.14,313.92,EA,1,ACTIVE
159,ACC-KPD-003,Trilogy T3 DL6100 - 26D,dormakaba,Access Control,Keypad Locks,304.57,491.89,742.99,EA,1,ACTIVE
160,ACC-KPD-004,Networked Keypad Lock - Wireless,dormakaba,Access Control,Keypad Locks,232.29,372.27,488.70,EA,1,ACTIVE
161,ACC-KPD-005,Standalone Keypad Lock - Battery,Schlage,Access Control,Keypad Locks,470.35,756.46,1129.17,EA,1,ACTIVE
162,ACC-KPD-006,Heavy Duty Keypad Lever - 626,Schlage,Access Control,Keypad Locks,237.76,374.39,495.48,EA,1,ACTIVE
163,ACC-KPD-007,Keypad Lock with Audit Trail,Schlage,Access Control,Keypad Locks,220.69,380.25,607.59,EA,1,ACTIVE
164,ACC-KPD-008,Pushbutton Lock - Mechanical,dormakaba,Access Control,Keypad Locks,178.38,287.34,453.26,EA,1,ACTIVE
165,AUT-TRN-001,Transponder Key Toyota - TOY44D-PT,Strattec,Automotive,Transponder Keys,24.90,41.82,64.07,EA,5,ACTIVE
166,AUT-TRN-002,Transponder Key Honda - HD111-PT,Keyline,Automotive,Transponder Keys,4.08,7.00,10.42,EA,5,ACTIVE
167,AUT-TRN-003,Transponder Key Ford - H92-PT,Strattec,Automotive,Transponder Keys,9.92,17.52,26.21,EA,5,ACTIVE
168,AUT-TRN-004,Transponder Key Chevy - B111-PT,JMA USA,Automotive,Transponder Keys,19.48,34.96,46.18,EA,5,ACTIVE
169,AUT-TRN-005,Transponder Key Nissan - NI04-PT,Ilco,Automotive,Transponder Keys,8.42,14.06,18.53,EA,5,ACTIVE
170,AUT-TRN-006,Transponder Key Chrysler - Y159-PT,Strattec,Automotive,Transponder Keys,12.02,21.82,31.04,EA,5,ACTIVE
171,AUT-TRN-007,Transponder Key BMW - BM3-PT,Ilco,Automotive,Transponder Keys,8.24,13.83,19.47,EA,5,ACTIVE
172,AUT-TRN-008,Transponder Key Mercedes - HU64-PT,Ilco,Automotive,Transponder Keys,24.93,42.70,67.43,EA,5,DISCONTINUED
173,AUT-TRN-009,Transponder Key Hyundai - HY18-PT,Ilco,Automotive,Transponder Keys,6.94,12.18,16.35,EA,5,ACTIVE
174,AUT-TRN-010,Transponder Key Kia - KK10-PT,JMA USA,Automotive,Transponder Keys,22.98,38.76,50.54,EA,5,ACTIVE
175,AUT-TRN-011,High Security Key VW - HU66-PT,Ilco,Automotive,Transponder Keys,10.27,17.77,24.41,EA,5,ACTIVE
176,AUT-TRN-012,Transponder Key Subaru - SUB44-PT,Ilco,Automotive,Transponder Keys,14.05,24.65,33.38,EA,5,ACTIVE
177,AUT-TRN-013,Transponder Key Lexus - TOY48-PT,Ilco,Automotive,Transponder Keys,7.91,13.22,18.17,EA,5,ACTIVE
178,AUT-TRN-014,Transponder Key Jeep - Y160-PT,Strattec,Automotive,Transponder Keys,9.84,17.75,26.64,EA,5,ACTIVE
179,AUT-PRG-001,Key Programmer IM608 Pro,Xtool,Automotive,Programming Tools,1098.60,1894.72,2548.80,EA,1,ACTIVE
180,AUT-PRG-002,Key Programmer IM508 Pro,Autel,Automotive,Programming Tools,305.62,534.28,830.69,EA,1,ACTIVE
181,AUT-PRG-003,Smart Pro Key Programmer,Xtool,Automotive,Programming Tools,259.88,437.90,580.53,EA,1,ACTIVE
182,AUT-PRG-004,Key Programming Device RW4 Plus,Autel,Automotive,Programming Tools,1325.06,2249.17,2960.35,EA,1,ACTIVE
183,AUT-PRG-005,EEPROM Programming Tool,Autel,Automotive,Programming Tools,1076.75,1800.91,2716.31,EA,1,ACTIVE
184,AUT-PRG-006,Universal Key Programmer,Autel,Automotive,Programming Tools,495.82,827.28,1131.16,EA,1,ACTIVE
185,AUT-PRG-007,OBD Key Programmer - Basic,Autel,Automotive,Programming Tools,481.33,861.54,1261.29,EA,1,ACTIVE
186,AUT-PRG-008,Key Machine with Programmer Combo,Silca,Automotive,Programming Tools,807.95,1391.21,2041.63,EA,1,ACTIVE
187,AUT-LOT-001,Slim Jim Set - Universal,SouthOrd,Automotive,Lockout Tools,70.85,124.43,169.39,EA,1,ACTIVE
188,AUT-LOT-002,Long Reach Tool Kit,Pro-Lok,Automotive,Lockout Tools,79.02,139.62,185.77,EA,1,ACTIVE
189,AUT-LOT-003,Air Wedge - Large,Pro-Lok,Automotive,Lockout Tools,109.77,198.22,302.12,EA,1,ACTIVE
190,AUT-LOT-004,Air Wedge - Small,SouthOrd,Automotive,Lockout Tools,94.91,158.40,216.97,EA,1,ACTIVE
191,AUT-LOT-005,Jiffy Jak Lockout Kit,SouthOrd,Automotive,Lockout Tools,70.01,120.39,180.60,EA,1,ACTIVE
192,AUT-LOT-006,Quick Entry Tool Set,Lishi,Automotive,Lockout Tools,105.15,175.67,250.98,EA,1,ACTIVE
